" 55+",267,138,129,0,0,0,0,123,144,0,0,267
"",26%,29%,24%,- ,- ,- ,- ,100%,100%,- ,- ,100%
"",,,,,,,,ABCD,ABCD,,,AB
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QGENDER. Are you…?",,
"Base - All Respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
"Female",539,0,539,69,156,107,78,63,66,225,185,129
"",53%,- ,100%,51%,64%,52%,48%,51%,46%,59%,50%,48%
"",,,A,,ACDEF,,,,,BC,,
"Male",478,478,0,67,89,98,86,60,78,156,184,138
"",47%,100%,- ,49%,36%,48%,52%,49%,54%,41%,50%,52%
"",,B,,B,,B,B,B,B,,A,A
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QETHNICITY. To which of these ethnic groups do you consider you belong?",,
"Base - All Respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
"A: White" ,,
"British",573,287,286,30,95,111,109,110,118,125,220,228
"",56%,60%,53%,22%,39%,54%,66%,89%,82%,33%,60%,85%
"",,B,,,A,AB,ABC,ABCD,ABCD,,A,AB
"Irish",15,8,7,0,1,2,6,3,3,1,8,6
"",1%,2%,1%,- ,0%,1%,4%,2%,2%,0%,2%,2%
"",,,,,,,AB,,,,A,A
"Any other White background",81,24,57,9,30,18,15,2,7,39,33,9
"",8%,5%,11%,7%,12%,9%,9%,2%,5%,10%,9%,3%
"",,,A,E,EF,E,E,,,C,C,
"B: Mixed" ,,
"White and Black Caribbean",13,3,10,5,5,1,2,0,0,10,3,0
"",1%,1%,2%,4%,2%,0%,1%,- ,- ,3%,1%,- 
"",,,,CEF,,,,,,C,,
"White and Black African",9,5,4,2,5,0,2,0,0,7,2,0
"",1%,1%,1%,1%,2%,- ,1%,- ,- ,2%,1%,- 
"",,,,,C,,,,,C,,
"White and Asian",17,11,6,4,5,2,4,0,2,9,6,2
"",2%,2%,1%,3%,2%,1%,2%,- ,1%,2%,2%,1%
"",,,,,,,,,,,,
"Any other Mixed background",7,0,7,3,1,2,1,0,0,4,3,0
"",1%,- ,1%,2%,0%,1%,1%,- ,- ,1%,1%,- 
"",,,A,,,,,,,,,
"C: Asian or Asian British" ,,
"Indian",86,44,42,20,32,21,7,1,5,52,28,6
"",8%,9%,8%,15%,13%,10%,4%,1%,3%,14%,8%,2%
"",,,,DEF,DEF,DEF,,,,BC,C,
"Pakistani",28,16,12,5,17,3,3,0,0,22,6,0
"",3%,3%,2%,4%,7%,1%,2%,- ,- ,6%,2%,- 
"",,,,EF,CDEF,,,,,BC,C,
"Bangladeshi",22,10,12,9,9,4,0,0,0,18,4,0
"",2%,2%,2%,7%,4%,2%,- ,- ,- ,5%,1%,- 
"",,,,CDEF,DEF,,,,,BC,,
"Any other Asian background",17,7,10,6,6,2,1,0,2,12,3,2
"",2%,1%,2%,4%,2%,1%,1%,- ,1%,3%,1%,1%
"",,,,CDE,,,,,,BC,,
"D: Black or Black British" ,,
"Caribbean",35,12,23,8,8,10,7,1,1,16,17,2
"",3%,3%,4%,6%,3%,5%,4%,1%,1%,4%,5%,1%
"",,,,EF,,EF,,,,C,C,
"African",51,23,28,23,13,13,2,0,0,36,15,0
"",5%,5%,5%,17%,5%,6%,1%,- ,- ,9%,4%,- 
"",,,,BCDEF,DEF,DEF,,,,BC,C,
"Any other Black background",5,2,3,2,2,0,1,0,0,4,1,0
"",0%,0%,1%,1%,1%,- ,1%,- ,- ,1%,0%,- 
"",,,,,,,,,,,,
"E: Chinese or Other Ethnic Group" ,,
"Chinese",26,13,13,6,11,3,2,2,2,17,5,4
"",3%,3%,2%,4%,4%,1%,1%,2%,1%,4%,1%,1%
"",,,,,,,,,,BC,,
"Any other ethnic group",7,2,5,2,2,2,1,0,0,4,3,0
"",1%,0%,1%,1%,1%,1%,1%,- ,- ,1%,1%,- 
"",,,,,,,,,,,,
"" ,,
"Would Rather Not Say",25,11,14,2,3,11,1,4,4,5,12,8
"",2%,2%,3%,1%,1%,5%,1%,3%,3%,1%,3%,3%
"",,,,,,BD,,,,,,
" Net" ,,
"White (1-3)",669,319,350,39,126,131,130,115,128,165,261,243
"",66%,67%,65%,29%,51%,64%,79%,93%,89%,43%,71%,91%
"",,,,,A,AB,ABC,ABCD,ABCD,,A,AB
"Mixed (4-7)",46,19,27,14,16,5,9,0,2,30,14,2
"",5%,4%,5%,10%,7%,2%,5%,- ,1%,8%,4%,1%
"",,,,CEF,CEF,,E,,,BC,C,
"Asian/Asian British (8-11)",153,77,76,40,64,30,11,1,7,104,41,8
"",15%,16%,14%,29%,26%,15%,7%,1%,5%,27%,11%,3%
"",,,,CDEF,CDEF,DEF,E,,,BC,C,
"Black/Black British (12-14)",91,37,54,33,23,23,10,1,1,56,33,2
"",9%,8%,10%,24%,9%,11%,6%,1%,1%,15%,9%,1%
"",,,,BCDEF,EF,EF,EF,,,BC,C,
"Chinese/Other (15-16)",33,15,18,8,13,5,3,2,2,21,8,4
"",3%,3%,3%,6%,5%,2%,2%,2%,1%,6%,2%,1%
"",,,,F,,,,,,BC,,
"BAME  (4-16)",323,148,175,95,116,63,33,4,12,211,96,16
"",32%,31%,32%,70%,47%,31%,20%,3%,8%,55%,26%,6%
"",,,,BCDEF,CDEF,DEF,EF,,,BC,C,
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QBOROUGH. Which London borough do you live in?",,
"Base - All Respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
"Barking & Dagenham",26,14,12,2,9,8,4,1,2,11,12,3
"",3%,3%,2%,1%,4%,4%,2%,1%,1%,3%,3%,1%
"",,,,,,,,,,,,
"Barnet",56,16,40,7,14,12,5,10,8,21,17,18
"",6%,3%,7%,5%,6%,6%,3%,8%,6%,6%,5%,7%
"",,,A,,,,,,,,,
"Bexley",29,13,16,5,4,7,3,4,6,9,10,10
"",3%,3%,3%,4%,2%,3%,2%,3%,4%,2%,3%,4%
"",,,,,,,,,,,,
"Brent",33,17,16,7,8,4,8,4,2,15,12,6
"",3%,4%,3%,5%,3%,2%,5%,3%,1%,4%,3%,2%
"",,,,,,,,,,,,
"Bromley",46,23,23,3,5,9,7,11,11,8,16,22
"",5%,5%,4%,2%,2%,4%,4%,9%,8%,2%,4%,8%
"",,,,,,,,AB,AB,,,AB
"Camden",22,11,11,4,10,4,0,1,3,14,4,4
"",2%,2%,2%,3%,4%,2%,- ,1%,2%,4%,1%,1%
"",,,,D,D,,,,,B,,
"City of London",48,34,14,18,21,8,1,0,0,39,9,0
"",5%,7%,3%,13%,9%,4%,1%,- ,- ,10%,2%,- 
"",,B,,CDEF,CDEF,DEF,,,,BC,C,
"City of Westminster",25,12,13,7,5,4,5,1,3,12,9,4
"",2%,3%,2%,5%,2%,2%,3%,1%,2%,3%,2%,1%
"",,,,E,,,,,,,,
"Croydon",50,23,27,2,11,10,13,8,6,13,23,14
"",5%,5%,5%,1%,4%,5%,8%,7%,4%,3%,6%,5%
"",,,,,,,A,A,,,,
"Ealing",38,17,21,2,9,11,6,7,3,11,17,10
"",4%,4%,4%,1%,4%,5%,4%,6%,2%,3%,5%,4%
"",,,,,,,,,,,,
"Enfield",36,20,16,4,9,5,6,6,6,13,11,12
"",4%,4%,3%,3%,4%,2%,4%,5%,4%,3%,3%,4%
"",,,,,,,,,,,,
"Greenwich",24,9,15,3,4,7,3,4,3,7,10,7
"",2%,2%,3%,2%,2%,3%,2%,3%,2%,2%,3%,3%
"",,,,,,,,,,,,
"Hackney",24,12,12,7,8,2,2,3,2,15,4,5
"",2%,3%,2%,5%,3%,1%,1%,2%,1%,4%,1%,2%
"",,,,CD,,,,,,B,,
"Hammersmith & Fulham",23,8,15,3,8,5,2,3,2,11,7,5
"",2%,2%,3%,2%,3%,2%,1%,2%,1%,3%,2%,2%
"",,,,,,,,,,,,
"Haringey",29,15,14,4,5,8,6,2,4,9,14,6
"",3%,3%,3%,3%,2%,4%,4%,2%,3%,2%,4%,2%
"",,,,,,,,,,,,
"Harrow",30,17,13,3,5,8,3,5,6,8,11,11
"",3%,4%,2%,2%,2%,4%,2%,4%,4%,2%,3%,4%
"",,,,,,,,,,,,
"Havering",24,7,17,0,4,3,4,6,7,4,7,13
"",2%,1%,3%,- ,2%,1%,2%,5%,5%,1%,2%,5%
"",,,,,,,,A,A,,,AB
"Hillingdon",29,11,18,4,5,3,8,2,7,9,11,9
"",3%,2%,3%,3%,2%,1%,5%,2%,5%,2%,3%,3%
"",,,,,,,,,,,,
"Hounslow",40,21,19,4,7,7,9,7,6,11,16,13
"",4%,4%,4%,3%,3%,3%,5%,6%,4%,3%,4%,5%
"",,,,,,,,,,,,
"Islington",24,10,14,6,7,3,3,1,4,13,6,5
"",2%,2%,3%,4%,3%,1%,2%,1%,3%,3%,2%,2%
"",,,,,,,,,,,,
"Kensington & Chelsea",15,8,7,3,3,4,3,1,1,6,7,2
"",1%,2%,1%,2%,1%,2%,2%,1%,1%,2%,2%,1%
"",,,,,,,,,,,,
"Kingston-upon-Thames",31,10,21,1,6,6,5,7,6,7,11,13
"",3%,2%,4%,1%,2%,3%,3%,6%,4%,2%,3%,5%
"",,,,,,,,A,,,,A
"Lambeth",29,13,16,5,8,7,5,3,1,13,12,4
"",3%,3%,3%,4%,3%,3%,3%,2%,1%,3%,3%,1%
"",,,,,,,,,,,,
"Lewisham",29,9,20,5,3,5,9,3,4,8,14,7
"",3%,2%,4%,4%,1%,2%,5%,2%,3%,2%,4%,3%
"",,,,,,,B,,,,,
"Merton",24,17,7,3,3,2,4,6,6,6,6,12
"",2%,4%,1%,2%,1%,1%,2%,5%,4%,2%,2%,4%
"",,B,,,,,,BC,,,,AB
"Newham",39,21,18,5,17,8,2,4,3,22,10,7
"",4%,4%,3%,4%,7%,4%,1%,3%,2%,6%,3%,3%
"",,,,,DF,,,,,B,,
"Redbridge",29,17,12,1,11,5,6,1,5,12,11,6
"",3%,4%,2%,1%,4%,2%,4%,1%,3%,3%,3%,2%
"",,,,,A,,,,,,,
"Richmond-upon-Thames",17,7,10,1,3,1,5,2,5,4,6,7
"",2%,1%,2%,1%,1%,0%,3%,2%,3%,1%,2%,3%
"",,,,,,,,,C,,,
"Southwark",27,13,14,7,9,3,5,0,3,16,8,3
"",3%,3%,3%,5%,4%,1%,3%,- ,2%,4%,2%,1%
"",,,,CE,E,,,,,C,,
"Sutton",29,11,18,0,6,8,6,2,7,6,14,9
"",3%,2%,3%,- ,2%,4%,4%,2%,5%,2%,4%,3%
"",,,,,,A,A,,A,,,
"Tower Hamlets",26,11,15,4,9,9,1,1,2,13,10,3
"",3%,2%,3%,3%,4%,4%,1%,1%,1%,3%,3%,1%
"",,,,,,D,,,,,,
"Waltham Forest",35,15,20,3,5,10,7,7,3,8,17,10
"",3%,3%,4%,2%,2%,5%,4%,6%,2%,2%,5%,4%
"",,,,,,,,,,,,
"Wandsworth",31,16,15,3,4,9,8,0,7,7,17,7
"",3%,3%,3%,2%,2%,4%,5%,- ,5%,2%,5%,3%
"",,,,,,E,E,,E,,A,
"Not in a London Borough",0,0,0,0,0,0,0,0,0,0,0,0
"",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"",,,,,,,,,,,,
"Don’t know",0,0,0,0,0,0,0,0,0,0,0,0
"",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"",,,,,,,,,,,,
" Net" ,,
"Inner",391,193,198,81,117,79,52,23,39,198,131,62
"",38%,40%,37%,60%,48%,39%,32%,19%,27%,52%,36%,23%
"",,,,BCDEF,DEF,EF,E,,,BC,C,
"Outer",626,285,341,55,128,126,112,100,105,183,238,205
"",62%,60%,63%,40%,52%,61%,68%,81%,73%,48%,64%,77%
"",,,,,A,A,AB,ABCD,ABC,,A,AB
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QEMPLOYMENT. Are you…?",,
"Base - All Respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
"Working full time (30+ hours a week)",482,274,208,33,168,137,96,36,12,201,233,48
"",47%,57%,39%,24%,69%,67%,59%,29%,8%,53%,63%,18%
"",,B,,F,ADEF,AEF,AEF,F,,C,AC,
"Working part time (less than 30 hours a week)",161,39,122,22,31,35,34,23,16,53,69,39
"",16%,8%,23%,16%,13%,17%,21%,19%,11%,14%,19%,15%
"",,,A,,,,BF,,,,,
"A full time student",55,21,34,47,8,0,0,0,0,55,0,0
"",5%,4%,6%,35%,3%,- ,- ,- ,- ,14%,- ,- 
"",,,,BCDEF,CDEF,,,,,BC,,
"A part time student",28,24,4,26,1,0,1,0,0,27,1,0
"",3%,5%,1%,19%,0%,- ,1%,- ,- ,7%,0%,- 
"",,B,,BCDEF,,,,,,BC,,
"Not working – looking for work",38,16,22,8,12,9,4,5,0,20,13,5
"",4%,3%,4%,6%,5%,4%,2%,4%,- ,5%,4%,2%
"",,,,F,F,F,,F,,C,,
"Not working (not looking for work)",35,17,18,3,7,5,9,11,0,10,14,11
"",3%,4%,3%,2%,3%,2%,5%,9%,- ,3%,4%,4%
"",,,,,F,,F,ABCF,,,,
"Retired",158,84,74,0,0,0,6,39,113,0,6,152
"",16%,18%,14%,- ,- ,- ,4%,32%,78%,- ,2%,57%
"",,,,,,,ABC,ABCD,ABCDE,,A,AB
"Looking after family and home",64,7,57,4,15,20,14,9,2,19,34,11
"",6%,1%,11%,3%,6%,10%,9%,7%,1%,5%,9%,4%
"",,,A,,F,AF,AF,F,,,AC,
"Maternity leave",2,0,2,0,1,1,0,0,0,1,1,0
"",0%,- ,0%,- ,0%,0%,- ,- ,- ,0%,0%,- 
"",,,,,,,,,,,,
"Other (please write in)",8,2,6,0,2,0,2,2,2,2,2,4
"",1%,0%,1%,- ,1%,- ,1%,2%,1%,1%,1%,1%
"",,,,,,,,,,,,
"(Refused)",1,0,1,0,1,0,0,0,0,1,0,0
"",0%,- ,0%,- ,0%,- ,- ,- ,- ,0%,- ,- 
"",,,,,,,,,,,,
" Net" ,,
"Working",642,312,330,55,199,171,130,59,28,254,301,87
"",63%,65%,61%,40%,81%,83%,79%,48%,19%,67%,82%,33%
"",,,,F,AEF,AEF,AEF,F,,C,AC,
"Not working",375,166,209,81,46,34,34,64,116,127,68,180
"",37%,35%,39%,60%,19%,17%,21%,52%,81%,33%,18%,67%
"",,,,BCD,,,,BCD,ABCDE,B,,AB
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QSEG. What is the occupation of the chief income earner in your household?",,
"Base - All Respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
"Semi or unskilled manual work (e.g. Manual Workers, all Apprentices to skilled trades, Caretaker, Park keeper, Non-HGV Driver, Shop Assistant)",88,40,48,19,18,16,15,12,8,37,31,20
"",9%,8%,9%,14%,7%,8%,9%,10%,6%,10%,8%,7%
"",,,,BF,,,,,,,,
"Skilled Manual Worker (e.g. Skilled Bricklayer, Carpenter, Plumber, Painter, Bus/ Ambulance Driver, HGV driver, AA Patrolman, Pub/Bar Worker, etc.)",109,57,52,19,22,20,22,16,10,41,42,26
"",11%,12%,10%,14%,9%,10%,13%,13%,7%,11%,11%,10%
"",,,,,,,,,,,,
"Supervisory or Clerical/ Junior Managerial/ Professional/ Administrative (e.g. Office Worker, Student Doctor, Foreman with 25+ employees, Salesperson, etc.)",311,138,173,27,82,70,57,45,30,109,127,75
"",31%,29%,32%,20%,33%,34%,35%,37%,21%,29%,34%,28%
"",,,,,AF,AF,AF,AF,,,,
"Intermediate Managerial/ Professional/ Administrative (e.g. Newly qualified (under 3 years) Doctor, Solicitor, Board Director in a small organisation ...)",291,152,139,39,84,58,38,28,44,123,96,72
"",29%,32%,26%,29%,34%,28%,23%,23%,31%,32%,26%,27%
"",,B,,,DE,,,,,,,
"Higher Managerial/ Professional/ administrative (e.g. Established Doctor, Solicitor, Board Director in a large organisation (200+ employees) ...)",96,41,55,8,25,23,18,4,18,33,41,22
"",9%,9%,10%,6%,10%,11%,11%,3%,13%,9%,11%,8%
"",,,,,E,E,E,,E,,,
"Student",13,5,8,9,4,0,0,0,0,13,0,0
"",1%,1%,1%,7%,2%,- ,- ,- ,- ,3%,- ,- 
"",,,,BCDEF,,,,,,BC,,
"Casual Worker not in permanent employment",8,5,3,4,1,3,0,0,0,5,3,0
"",1%,1%,1%,3%,0%,1%,- ,- ,- ,1%,1%,- 
"",,,,BDF,,,,,,,,
"Housewife/ Homemaker",8,1,7,2,1,3,1,1,0,3,4,1
"",1%,0%,1%,1%,0%,1%,1%,1%,- ,1%,1%,0%
"",,,,,,,,,,,,
"Retired and living on state pension",39,13,26,0,2,2,0,3,32,2,2,35
"",4%,3%,5%,- ,1%,1%,- ,2%,22%,1%,1%,13%
"",,,,,,,,D,ABCDE,,,AB
"Unemployed or not working due to long-term sickness",51,26,25,9,5,9,12,14,2,14,21,16
"",5%,5%,5%,7%,2%,4%,7%,11%,1%,4%,6%,6%
"",,,,BF,,,BF,BCF,,,,
"Full-time Carer of other household member",3,0,3,0,1,1,1,0,0,1,2,0
"",0%,- ,1%,- ,0%,0%,1%,- ,- ,0%,1%,- 
"",,,,,,,,,,,,
"Other",0,0,0,0,0,0,0,0,0,0,0,0
"",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"",,,,,,,,,,,,
" Net" ,,
"ABC1",711,336,375,83,195,151,113,77,92,278,264,169
"",70%,70%,70%,61%,80%,74%,69%,63%,64%,73%,72%,63%
"",,,,,ADEF,AE,,,,C,C,
"C2DE",306,142,164,53,50,54,51,46,52,103,105,98
"",30%,30%,30%,39%,20%,26%,31%,37%,36%,27%,28%,37%
"",,,,BC,,,B,BC,B,,,AB
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QFREQ. Buses: How often do you use buses to get around London?",,
"Base - All respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
" 5 or more days a week (260.00)",252,128,124,57,77,44,32,22,20,134,76,42
"",25%,27%,23%,42%,31%,21%,20%,18%,14%,35%,21%,16%
"",,,,BCDEF,CDEF,,,,,BC,,
" 3-4 days a week (182.00)",171,84,87,20,48,30,30,12,31,68,60,43
"",17%,18%,16%,15%,20%,15%,18%,10%,22%,18%,16%,16%
"",,,,,E,,E,,E,,,
" 2 days a week (104.00)",157,69,88,22,37,29,21,20,28,59,50,48
"",15%,14%,16%,16%,15%,14%,13%,16%,19%,15%,14%,18%
"",,,,,,,,,,,,
"Once a week (52.00)",118,50,68,12,21,27,22,18,18,33,49,36
"",12%,10%,13%,9%,9%,13%,13%,15%,13%,9%,13%,13%
"",,,,,,,,,,,A,
"Once a fortnight (26.00)",78,36,42,10,16,17,14,13,8,26,31,21
"",8%,8%,8%,7%,7%,8%,9%,11%,6%,7%,8%,8%
"",,,,,,,,,,,,
"Once a month (12.00)",65,29,36,6,13,16,15,7,8,19,31,15
"",6%,6%,7%,4%,5%,8%,9%,6%,6%,5%,8%,6%
"",,,,,,,,,,,,
"Less often than once a month (6.00)",94,48,46,4,21,24,14,14,17,25,38,31
"",9%,10%,9%,3%,9%,12%,9%,11%,12%,7%,10%,12%
"",,,,,A,A,A,A,A,,,A
"Not in the last 12 months (0.50)",42,17,25,2,7,7,9,8,9,9,16,17
"",4%,4%,5%,1%,3%,3%,5%,7%,6%,2%,4%,6%
"",,,,,,,,A,A,,,A
"Never (0.00)",40,17,23,3,5,11,7,9,5,8,18,14
"",4%,4%,4%,2%,2%,5%,4%,7%,3%,2%,5%,5%
"",,,,,,,,B,,,A,A
" Net" ,,
"At least once a week",698,331,367,111,183,130,105,72,97,294,235,169
"",69%,69%,68%,82%,75%,63%,64%,59%,67%,77%,64%,63%
"",,,,CDEF,CDE,,,,,BC,,
"Mean",120.45,125.37,116.09,159.77,140.40,107.81,108.17,92.93,104.86,147.31,107.97,99.37
"",,,,CDEF,CDEF,,,,,BC,,
"Standard Error",3.12,4.60,4.22,8.49,6.38,6.89,7.58,8.55,7.49,5.12,5.09,5.64
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QFREQ. Underground/ Tube:  How often do you use the Underground/ Tube to get around London?",,
"Base - All respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
,"","Gender","",Age,,,,,,Age group,,
,"","","",,,,,,,,,
,"Total","Men","Women",16-24,25-34,35-44,45-54,55-64,65+,16-34,35-54,55+
,"","A","B",A,B,C,D,E,F,A,B,C
,"","","",,,,,,,,,
"" ,,
"Total",1017,478,539,136,245,205,164,123,144,381,369,267
"" ,,
" 5 or more days a week (260.00)",165,85,80,22,62,51,18,8,4,84,69,12
"",16%,18%,15%,16%,25%,25%,11%,7%,3%,22%,19%,4%
"",,,,EF,ADEF,DEF,F,,,C,C,
" 3-4 days a week (182.00)",175,105,70,43,66,27,21,9,9,109,48,18
"",17%,22%,13%,32%,27%,13%,13%,7%,6%,29%,13%,7%
"",,B,,CDEF,CDEF,F,,,,BC,C,
" 2 days a week (104.00)",106,50,56,7,31,20,22,9,17,38,42,26
"",10%,10%,10%,5%,13%,10%,13%,7%,12%,10%,11%,10%
"",,,,,A,,A,,A,,,
"Once a week (52.00)",122,60,62,14,28,20,19,15,26,42,39,41
"",12%,13%,12%,10%,11%,10%,12%,12%,18%,11%,11%,15%
"",,,,,,,,,C,,,
"Once a fortnight (26.00)",93,51,42,15,9,17,18,17,17,24,35,34
"",9%,11%,8%,11%,4%,8%,11%,14%,12%,6%,9%,13%
"",,,,B,,B,B,B,B,,,A
"Once a month (12.00)",100,32,68,13,18,23,12,19,15,31,35,34
"",10%,7%,13%,10%,7%,11%,7%,15%,10%,8%,9%,13%
"",,,A,,,,,BD,,,,
"Less often than once a month (6.00)",146,52,94,11,21,28,34,20,32,32,62,52
"",14%,11%,17%,8%,9%,14%,21%,16%,22%,8%,17%,19%
"",,,A,,,,AB,AB,ABC,,A,A
"Not in the last 12 months (0.50)",62,24,38,4,6,8,13,14,17,10,21,31
"",6%,5%,7%,3%,2%,4%,8%,11%,12%,3%,6%,12%
"",,,,,,,B,ABC,ABC,,A,AB
"Never (0.00)",48,19,29,7,4,11,7,12,7,11,18,19
"",5%,4%,5%,5%,2%,5%,4%,10%,5%,3%,5%,7%
"",,,,,,B,,B,,,,A
" Net" ,,
"At least once a week",568,300,268,86,187,118,80,41,56,273,198,97
"",56%,63%,50%,63%,76%,58%,49%,33%,39%,72%,54%,36%
"",,B,,DEF,ACDEF,EF,E,,,BC,C,
"Mean",95.03,107.87,83.63,114.82,136.29,108.21,76.83,50.66,45.98,128.63,94.27,48.13
"",,B,,DEF,ACDEF,DEF,EF,,,BC,C,
"Standard Error",3.00,4.40,4.06,8.23,6.13,7.30,6.83,6.71,5.09,4.94,5.12,4.13
"#page",,
" JN1836 DMM October 15",,
"Absolutes/col percents",,
"QFREQ. DLR (Docklands Light Railway):  How often do you use the DLR to get around London?",,
"Base - All respondents",,
"_______________________________________________________",,
"Proportions/Means: Columns Tested (5% risk level) - A/B",,
"",,
"","","","",,,,,,,,,
,"","","",,,,,,,,,
